============================================================
GEOCK v2 - NEURAL NETWORK v2 (Chunked + LR Scheduling)
============================================================

[1] Loading MERGED data (39K samples)...
  39109 samples, 512 features
  Data scaled. Feature range: [-2.501, 9.048]

[2] 5-Fold CV with Chunked NN + LR Scheduling...
    (ReduceLROnPlateau: LR reduces when improvement stalls)
     Patience: 10 epochs for LR, 30 epochs for early stopping
============================================================
Using device: cpu


============================================================
FOLD 1/5
============================================================
Epoch  37/150 | Train: 0.9243 | Val: 0.7691 | R²: 0.7760 | LR: 0.001000
Epoch  38/150 | Train: 0.9142 | Val: 0.7568 | R²: 0.7799 | LR: 0.001000
Epoch  39/150 | Train: 0.8869 | Val: 0.7794 | R²: 0.7790 | LR: 0.001000
Epoch  40/150 | Train: 0.8864 | Val: 0.7395 | R²: 0.7829 | LR: 0.001000
Epoch  41/150 | Train: 0.8529 | Val: 0.7528 | R²: 0.7821 | LR: 0.001000
Epoch  42/150 | Train: 0.8485 | Val: 0.7333 | R²: 0.7864 | LR: 0.001000
Epoch  43/150 | Train: 0.8156 | Val: 0.7338 | R²: 0.7867 | LR: 0.001000
Epoch  44/150 | Train: 0.8062 | Val: 0.7099 | R²: 0.7914 | LR: 0.001000
Epoch  45/150 | Train: 0.7949 | Val: 0.7092 | R²: 0.7905 | LR: 0.001000
Epoch  46/150 | Train: 0.7908 | Val: 0.7251 | R²: 0.7908 | LR: 0.001000
Epoch  47/150 | Train: 0.7807 | Val: 0.7233 | R²: 0.7928 | LR: 0.001000
Epoch  48/150 | Train: 0.7876 | Val: 0.6941 | R²: 0.7945 | LR: 0.001000
Epoch  49/150 | Train: 0.7492 | Val: 0.7027 | R²: 0.7962 | LR: 0.001000
Epoch  50/150 | Train: 0.7554 | Val: 0.6885 | R²: 0.7983 | LR: 0.001000
Epoch  51/150 | Train: 0.7265 | Val: 0.6854 | R²: 0.8000 | LR: 0.001000
Epoch  52/150 | Train: 0.7254 | Val: 0.6850 | R²: 0.7980 | LR: 0.001000
Epoch  53/150 | Train: 0.7145 | Val: 0.6933 | R²: 0.7973 | LR: 0.001000
Epoch  54/150 | Train: 0.6936 | Val: 0.6949 | R²: 0.7995 | LR: 0.001000
Epoch  55/150 | Train: 0.7096 | Val: 0.6917 | R²: 0.7987 | LR: 0.001000
Epoch  56/150 | Train: 0.6909 | Val: 0.6760 | R²: 0.8027 | LR: 0.001000
Epoch  57/150 | Train: 0.6749 | Val: 0.6834 | R²: 0.8014 | LR: 0.001000
Epoch  58/150 | Train: 0.6624 | Val: 0.6807 | R²: 0.8012 | LR: 0.001000
Epoch  59/150 | Train: 0.6597 | Val: 0.6666 | R²: 0.8053 | LR: 0.001000
Epoch  60/150 | Train: 0.6509 | Val: 0.6698 | R²: 0.8040 | LR: 0.001000
Epoch  61/150 | Train: 0.6518 | Val: 0.6825 | R²: 0.8053 | LR: 0.001000
Epoch  62/150 | Train: 0.6409 | Val: 0.6749 | R²: 0.8043 | LR: 0.001000
Epoch  63/150 | Train: 0.6309 | Val: 0.6694 | R²: 0.8059 | LR: 0.001000
Epoch  64/150 | Train: 0.6324 | Val: 0.6704 | R²: 0.8049 | LR: 0.001000
Epoch  65/150 | Train: 0.6229 | Val: 0.6538 | R²: 0.8064 | LR: 0.001000
Epoch  66/150 | Train: 0.6113 | Val: 0.6499 | R²: 0.8091 | LR: 0.001000
Epoch  67/150 | Train: 0.6127 | Val: 0.6591 | R²: 0.8072 | LR: 0.001000
Epoch  68/150 | Train: 0.6078 | Val: 0.6442 | R²: 0.8108 | LR: 0.001000
Epoch  69/150 | Train: 0.5919 | Val: 0.6564 | R²: 0.8094 | LR: 0.001000
Epoch  70/150 | Train: 0.5918 | Val: 0.6397 | R²: 0.8114 | LR: 0.001000
Epoch  71/150 | Train: 0.5860 | Val: 0.6440 | R²: 0.8122 | LR: 0.001000
Epoch  72/150 | Train: 0.5850 | Val: 0.6321 | R²: 0.8132 | LR: 0.001000
Epoch  73/150 | Train: 0.5749 | Val: 0.6274 | R²: 0.8142 | LR: 0.001000
Epoch  74/150 | Train: 0.5736 | Val: 0.6274 | R²: 0.8142 | LR: 0.001000
Epoch  75/150 | Train: 0.5688 | Val: 0.6428 | R²: 0.8134 | LR: 0.001000
Epoch  76/150 | Train: 0.5679 | Val: 0.6303 | R²: 0.8165 | LR: 0.001000
Epoch  77/150 | Train: 0.5588 | Val: 0.6365 | R²: 0.8148 | LR: 0.001000
Epoch  78/150 | Train: 0.5652 | Val: 0.6272 | R²: 0.8157 | LR: 0.001000
Epoch  79/150 | Train: 0.5544 | Val: 0.6438 | R²: 0.8139 | LR: 0.001000
Epoch  80/150 | Train: 0.5647 | Val: 0.6448 | R²: 0.8162 | LR: 0.001000
Epoch  81/150 | Train: 0.5447 | Val: 0.6299 | R²: 0.8159 | LR: 0.001000
Epoch  82/150 | Train: 0.5476 | Val: 0.6186 | R²: 0.8165 | LR: 0.001000
Epoch  83/150 | Train: 0.5369 | Val: 0.6206 | R²: 0.8173 | LR: 0.001000
Epoch  84/150 | Train: 0.5377 | Val: 0.6189 | R²: 0.8171 | LR: 0.001000
Epoch  85/150 | Train: 0.5364 | Val: 0.6315 | R²: 0.8165 | LR: 0.001000
Epoch  86/150 | Train: 0.5336 | Val: 0.6145 | R²: 0.8183 | LR: 0.001000
Epoch  87/150 | Train: 0.5308 | Val: 0.6342 | R²: 0.8206 | LR: 0.001000
Epoch  88/150 | Train: 0.5331 | Val: 0.6235 | R²: 0.8195 | LR: 0.001000
Epoch  89/150 | Train: 0.5274 | Val: 0.6186 | R²: 0.8194 | LR: 0.001000
Epoch  90/150 | Train: 0.5118 | Val: 0.6069 | R²: 0.8233 | LR: 0.001000
Epoch  91/150 | Train: 0.5212 | Val: 0.6072 | R²: 0.8222 | LR: 0.001000
Epoch  92/150 | Train: 0.5230 | Val: 0.6110 | R²: 0.8215 | LR: 0.001000
Epoch  93/150 | Train: 0.5057 | Val: 0.6119 | R²: 0.8218 | LR: 0.001000
Epoch  94/150 | Train: 0.5088 | Val: 0.6061 | R²: 0.8217 | LR: 0.001000
Epoch  95/150 | Train: 0.5073 | Val: 0.6089 | R²: 0.8205 | LR: 0.001000
Epoch  96/150 | Train: 0.5118 | Val: 0.6223 | R²: 0.8203 | LR: 0.001000
Epoch  97/150 | Train: 0.5049 | Val: 0.6124 | R²: 0.8198 | LR: 0.001000
Epoch  98/150 | Train: 0.5056 | Val: 0.6110 | R²: 0.8214 | LR: 0.001000
Epoch  99/150 | Train: 0.4951 | Val: 0.6097 | R²: 0.8218 | LR: 0.001000
Epoch 100/150 | Train: 0.4960 | Val: 0.5975 | R²: 0.8234 | LR: 0.001000
Epoch 101/150 | Train: 0.5000 | Val: 0.6070 | R²: 0.8217 | LR: 0.001000
Epoch 102/150 | Train: 0.4956 | Val: 0.6003 | R²: 0.8232 | LR: 0.001000
Epoch 103/150 | Train: 0.5032 | Val: 0.6054 | R²: 0.8212 | LR: 0.001000
Epoch 104/150 | Train: 0.4935 | Val: 0.6025 | R²: 0.8211 | LR: 0.001000
Epoch 105/150 | Train: 0.4858 | Val: 0.5961 | R²: 0.8243 | LR: 0.001000
Epoch 106/150 | Train: 0.4871 | Val: 0.6014 | R²: 0.8228 | LR: 0.001000
Epoch 107/150 | Train: 0.4829 | Val: 0.5966 | R²: 0.8233 | LR: 0.001000
Epoch 108/150 | Train: 0.4762 | Val: 0.5938 | R²: 0.8247 | LR: 0.001000
